Order_ID,Order_Date,Customer_ID,City,Province,Category,Product_Name,Price,Quantity,Discount_%,Delivery_Charges,Payment_Method,Order_Status,Rating,Sales,Profit
ORD100001,2025-04-13,CUST4772,Rawalpindi,Punjab,Fashion,Shoes,2018,4,0,200,COD,Delivered,5,10290,1813.47
ORD100002,2025-01-21,CUST3169,Karachi,Sindh,Books,Novel,1062,3,0,150,COD,Delivered,4,3336,236.72
ORD100003,2025-08-03,CUST4380,Faisalabad,Punjab,Books,Exam Guide,1397,2,10,250,Easypaisa,Delivered,5,2764.6,434.85
ORD100004,2025-09-15,CUST2515,Lahore,Punjab,Home Decor,Wall Frame,4059,4,0,250,COD,Delivered,4,16486,2064.85
ORD100005,2025-10-21,CUST1747,Rawalpindi,Punjab,Fashion,Handbag,3779,1,10,150,JazzCash,Delivered,5,3551.1,504.94
ORD100006,2025-12-11,CUST1474,Rawalpindi,Punjab,Mobile Accessories,Screen Protector,2769,1,0,150,COD,Delivered,3,3472.8,370.44
ORD100007,2025-02-28,CUST1975,Peshawar,Khyber Pakhtunkhwa,Electronics,Mouse,5697,4,5,300,Card,Delivered,4,21948.6,2793.83
ORD100008,2025-09-28,CUST4005,Faisalabad,Punjab,Electronics,Smart Watch,6712,2,15,200,Card,Delivered,4,11610.4,1611.27
ORD100009,2025-06-24,CUST3879,Sialkot,Punjab,Grocery,Cooking Oil,579,4,20,150,COD,Delivered,4,2002.8,200.05
ORD100010,2025-05-11,CUST4890,Karachi,Sindh,Mobile Accessories,Phone Cover,2736,1,15,300,COD,Cancelled,,0,-150
ORD100011,2025-05-15,CUST3945,Lahore,Punjab,Home Decor,Wall Frame,2527,1,0,250,Easypaisa,Delivered,4,2777,358.6
ORD100012,2025-12-06,CUST2390,Karachi,Sindh,Beauty,Shampoo,2396,4,10,150,Easypaisa,Delivered,4,10500.72,1019.54
ORD100013,2025-09-21,CUST2021,Multan,Punjab,Books,Story Book,1159,2,0,300,COD,Returned,,0,-150
ORD100014,2025-02-23,CUST4843,Islamabad,Islamabad Capital Territory,Fashion,Kurta,1431,2,15,250,Easypaisa,Delivered,4,2682.7,244.58
ORD100015,2025-11-06,CUST3317,Lahore,Punjab,Home Decor,Cushion,760,4,20,200,Card,Delivered,5,3483.2,510.07
ORD100016,2025-12-17,CUST4342,Islamabad,Islamabad Capital Territory,Grocery,Tea Pack,761,4,5,200,Card,Delivered,3,3670.16,495.27
ORD100017,2025-08-03,CUST3767,Rawalpindi,Punjab,Sports,Cricket Bat,4191,1,0,250,JazzCash,Delivered,3,4441,465.71
ORD100018,2025-08-25,CUST1878,Karachi,Sindh,Electronics,Earbuds,7062,2,15,300,Easypaisa,Returned,,0,-150
ORD100019,2025-02-22,CUST1379,Islamabad,Islamabad Capital Territory,Beauty,Perfume,2090,4,15,300,JazzCash,Delivered,5,7406,1033.43
ORD100020,2025-02-10,CUST3062,Lahore,Punjab,Grocery,Dates,1236,1,20,200,Easypaisa,Delivered,4,1188.8,132.09
ORD100021,2025-10-28,CUST4134,Lahore,Punjab,Sports,Cricket Bat,2670,4,0,200,COD,Delivered,5,10880,1642.62
ORD100022,2025-05-19,CUST3640,Karachi,Sindh,Electronics,Earbuds,8498,3,0,150,JazzCash,Delivered,4,25644,2262.42
ORD100023,2025-06-12,CUST3278,Karachi,Sindh,Sports,Football,4083,2,10,200,Easypaisa,Delivered,4,7549.4,1140.83
ORD100024,2025-02-10,CUST3182,Multan,Punjab,Books,Exam Guide,1310,4,0,150,Easypaisa,Delivered,5,5390,690.78
ORD100025,2025-07-20,CUST1502,Karachi,Sindh,Electronics,Earbuds,3305,4,10,250,Easypaisa,Delivered,5,12148,1220.98
ORD100026,2025-03-03,CUST1804,Lahore,Punjab,Books,Exam Guide,1246,4,5,300,COD,Cancelled,,0,-150
ORD100027,2025-04-09,CUST1960,Lahore,Punjab,Electronics,Earbuds,3143,3,15,150,JazzCash,Cancelled,,0,-75
ORD100028,2025-08-15,CUST2485,Peshawar,Khyber Pakhtunkhwa,Beauty,Serum,2201,1,10,300,COD,Delivered,5,2280.9,114.73
ORD100029,2025-05-11,CUST1397,Karachi,Sindh,Books,Notebook,1013,3,20,300,COD,Delivered,5,2731.2,383.14
ORD100030,2025-12-25,CUST1392,Faisalabad,Punjab,Sports,Football,5384,3,0,250,COD,Delivered,3,19632.4,3497.04
ORD100031,2025-07-26,CUST4762,Hyderabad,Sindh,Fashion,Kurta,2151,1,10,300,Card,Delivered,5,2235.9,137.54
ORD100032,2025-03-04,CUST3790,Karachi,Sindh,Beauty,Face Wash,1761,4,10,150,Easypaisa,Delivered,5,8074.5,736.97
ORD100033,2025-08-29,CUST3532,Karachi,Sindh,Fashion,T-Shirt,2580,2,0,300,Easypaisa,Delivered,4,5460,581.35
ORD100034,2025-08-19,CUST2678,Karachi,Sindh,Mobile Accessories,Phone Cover,547,1,5,300,COD,Delivered,3,819.65,14.84
ORD100035,2025-06-20,CUST3625,Karachi,Sindh,Electronics,Earbuds,10976,4,10,200,Card,Delivered,3,39713.6,5051.77
